profile,sieveSize,weaveDepth,windowSize,primes,fermat_per_sec,cpd
"G-ml-base[24,31,35]",128,40960,25088,0.105159,6495973,92.8159104912145
G,128,40960,25088,0.105046,6478844,91.5812280679597
L,256,43008,25088,0.104889,6572176,91.521341391702
H,128,43008,25088,0.105327,6272853,91.07013858315413
"G-ml-[25,32,36]",128,40960,25088,0.104629,6694930,90.94535621932816
M,256,40960,25088,0.104367,6806457,90.17099197935707
J,128,43008,24576,0.105223,6243674,89.75543565751359
K,64,43008,25088,0.105913,5838334,89.5973934877684
I,128,38912,25088,0.104403,6734493,89.5258453314045
"G-ml-[23,30,34]",128,40960,25088,0.105338,6126155,89.03328693968831
F,128,40960,20480,0.104938,6354914,88.91013055319729
T1,384,49152,25088,0.105395,6035659,88.19389424737268
T2,640,53248,25088,0.105904,5739775,88.01004605317353
B,512,40960,20480,0.104046,6801344,87.37000688309604
A,544,40960,22528,0.10377,6945981,86.88914041770198
T3,64,57344,25088,0.108027,4610293,86.21154437805599
